Label,Glucose_mM,K2HPO4_mM,KH2PO4_mM,Na2HPO4_mM,NH4Cl_mM
Curve00001,2,0.0615,22,42.3,1
Curve00084,2,61.5,11,42.3,1
Curve00085,2,61.5,22,42.3,1
Curve00086,2,61.5,22,42.3,1
Curve00087,2,61.5,22,42.3,1
Curve00088,2,61.5,22,42.3,1
Curve00089,2,61.5,22,42.3,1
Curve00090,2,61.5,22,42.3,1
Curve00167,2,61.5,22,63.45,1
Curve00168,2,61.5,22,63.45,1
Curve00169,2,61.5,22,84.6,1
Curve00170,2,61.5,22,84.6,1
Curve00171,2,61.5,22,84.6,1
Curve00172,2,61.5,22,84.6,1
Curve00173,2,61.5,22,84.6,1
Curve00174,2,61.5,22,84.6,1
Curve00250,2,61.5,22,42.3,1
Curve00251,2,61.5,22,42.3,1
Curve00252,2,61.5,22,42.3,1
Curve00253,2,61.5,22,42.3,1
Curve00254,2,61.5,22,42.3,1
Curve00255,2,61.5,22,42.3,1
Curve00256,2,61.5,22,42.3,1
Curve00333,2,61.5,22,42.3,1
Curve00334,2,61.5,22,42.3,1
Curve00335,2,61.5,22,42.3,1
Curve00336,2,61.5,22,42.3,1
Curve00415,2,61.5,22,42.3,1
Curve00416,2,61.5,22,42.3,1
Curve00417,2,61.5,22,42.3,1
Curve00418,2,61.5,22,42.3,1
Curve00497,2,61.5,22,42.3,1
Curve00498,2,61.5,22,42.3,1
Curve00579,2,61.5,22,42.3,1
Curve00580,2,61.5,22,42.3,1
Curve00581,2,61.5,22,42.3,1
Curve00582,2,61.5,22,42.3,1
Curve00583,2,61.5,22,42.3,1
Curve00584,2,61.5,22,42.3,1
Curve00585,2,61.5,22,42.3,1
Curve00661,2,61.5,22,42.3,1
Curve00662,2,61.5,22,42.3,1
Curve00663,2,61.5,22,42.3,1
Curve00664,2,61.5,22,42.3,1
Curve00665,2,61.5,22,42.3,1
Curve00743,2,61.5,22,42.3,1
Curve00744,2,61.5,22,42.3,1
Curve00745,2,61.5,22,42.3,1
Curve00746,2,61.5,22,42.3,1
Curve00747,2,61.5,22,42.3,1
Curve00748,2,61.5,22,42.3,1
Curve00825,2,61.5,22,42.3,1
Curve00826,2,61.5,22,42.3,1
Curve00827,2,61.5,22,42.3,1
Curve00828,2,61.5,22,42.3,1
Curve00829,2,61.5,22,42.3,1
Curve00830,2,61.5,22,42.3,1
Curve00907,2,61.5,22,42.3,1
Curve00908,2,61.5,22,42.3,1
Curve00909,2,61.5,22,42.3,1
Curve00910,2,61.5,22,42.3,1
Curve00911,2,61.5,22,42.3,1
Curve00912,2,61.5,22,42.3,1
Curve00989,2,61.5,22,42.3,1
Curve00990,2,61.5,22,42.3,1
Curve00991,2,61.5,22,42.3,1
Curve00992,2,61.5,22,42.3,1
Curve00993,2,61.5,22,42.3,1
Curve00994,2,61.5,22,42.3,1
Curve00995,2,61.5,22,42.3,1
Curve01071,2,61.5,22,42.3,1
Curve01072,2,61.5,22,42.3,1
Curve01073,2,61.5,22,42.3,1
Curve01074,2,61.5,22,42.3,1
Curve01075,2,61.5,22,42.3,1
Curve01076,2,61.5,22,42.3,1
Curve01153,2,61.5,22,42.3,1
Curve01154,2,61.5,22,42.3,1
Curve01155,2,61.5,22,42.3,1
Curve01156,2,61.5,22,42.3,1
Curve01157,2,61.5,22,42.3,1
Curve01158,2,61.5,22,42.3,1
Curve01159,2,61.5,22,42.3,1
Curve01235,2,61.5,22,42.3,1
Curve01236,2,61.5,22,42.3,1
Curve01237,2,61.5,22,42.3,1
Curve01238,2,61.5,22,42.3,1
Curve01239,2,61.5,22,42.3,1
